Rank,Supplier,Total,Year,TIV
15,Canada,13015,2021,119
16,Ukraine,12383,1992,165
16,Ukraine,12383,1993,82
16,Ukraine,12383,1994,236
16,Ukraine,12383,1995,167
16,Ukraine,12383,1996,236
16,Ukraine,12383,1997,558
16,Ukraine,12383,1998,708
16,Ukraine,12383,1999,732
16,Ukraine,12383,2000,270
16,Ukraine,12383,2001,512
16,Ukraine,12383,2002,310
16,Ukraine,12383,2003,308
16,Ukraine,12383,2004,200
16,Ukraine,12383,2005,293
16,Ukraine,12383,2006,533
16,Ukraine,12383,2007,636
16,Ukraine,12383,2008,396
16,Ukraine,12383,2009,438
16,Ukraine,12383,2010,507
16,Ukraine,12383,2011,558
16,Ukraine,12383,2012,1472
16,Ukraine,12383,2013,670
16,Ukraine,12383,2014,633
16,Ukraine,12383,2015,306
16,Ukraine,12383,2016,458
16,Ukraine,12383,2017,376
16,Ukraine,12383,2018,259
16,Ukraine,12383,2019,162
16,Ukraine,12383,2020,116
16,Ukraine,12383,2021,86
17,Poland,8380,1960,5
17,Poland,8380,1961,5
17,Poland,8380,1962,12
17,Poland,8380,1963,111
17,Poland,8380,1964,237
17,Poland,8380,1965,234
17,Poland,8380,1966,319
17,Poland,8380,1967,309
17,Poland,8380,1968,288
17,Poland,8380,1969,323
17,Poland,8380,1970,268
17,Poland,8380,1971,274
17,Poland,8380,1972,272
17,Poland,8380,1973,158
17,Poland,8380,1974,232
17,Poland,8380,1975,299
17,Poland,8380,1976,407
17,Poland,8380,1977,382
17,Poland,8380,1978,317
17,Poland,8380,1979,229
17,Poland,8380,1980,207
17,Poland,8380,1981,346
17,Poland,8380,1982,211
17,Poland,8380,1983,115
17,Poland,8380,1984,90
17,Poland,8380,1985,130
17,Poland,8380,1986,265
17,Poland,8380,1987,222
17,Poland,8380,1988,232
17,Poland,8380,1989,20
17,Poland,8380,1990,105
17,Poland,8380,1991,55
17,Poland,8380,1992,56
17,Poland,8380,1994,131
17,Poland,8380,1995,175
17,Poland,8380,1996,46
17,Poland,8380,1997,21
17,Poland,8380,1998,1
17,Poland,8380,1999,64
17,Poland,8380,2000,47
17,Poland,8380,2001,81
17,Poland,8380,2002,56
17,Poland,8380,2003,81
17,Poland,8380,2004,47
17,Poland,8380,2005,18
17,Poland,8380,2006,282
17,Poland,8380,2007,163
17,Poland,8380,2008,73
17,Poland,8380,2009,75
17,Poland,8380,2010,28
17,Poland,8380,2011,8
17,Poland,8380,2012,27
17,Poland,8380,2013,142
17,Poland,8380,2014,24
17,Poland,8380,2015,2
17,Poland,8380,2016,5
17,Poland,8380,2017,10
17,Poland,8380,2018,24
17,Poland,8380,2019,9
17,Poland,8380,2020,0
17,Poland,8380,2021,3
18,South Korea,8289,1972,141
18,South Korea,8289,1979,105
18,South Korea,8289,1980,105
18,South Korea,8289,1981,130
18,South Korea,8289,1982,65
18,South Korea,8289,1984,126
18,South Korea,8289,1985,28
18,South Korea,8289,1986,73
18,South Korea,8289,1988,51
18,South Korea,8289,1989,48
18,South Korea,8289,1990,72
18,South Korea,8289,1991,118
18,South Korea,8289,1993,60
18,South Korea,8289,1994,7
18,South Korea,8289,1995,28
18,South Korea,8289,1996,24
18,South Korea,8289,1997,21
18,South Korea,8289,1998,32
18,South Korea,8289,2000,10
18,South Korea,8289,2001,228
18,South Korea,8289,2003,98
18,South Korea,8289,2004,73
18,South Korea,8289,2005,108
18,South Korea,8289,2006,158
18,South Korea,8289,2007,280
18,South Korea,8289,2008,109
18,South Korea,8289,2009,224
18,South Korea,8289,2010,198
18,South Korea,8289,2011,350
18,South Korea,8289,2012,224
18,South Korea,8289,2013,371
18,South Korea,8289,2014,220
18,South Korea,8289,2015,94
18,South Korea,8289,2016,477
18,South Korea,8289,2017,742
18,South Korea,8289,2018,1056
18,South Korea,8289,2019,694
18,South Korea,8289,2020,778
18,South Korea,8289,2021,566
19,Norway,4477,1950,1
19,Norway,4477,1951,30
19,Norway,4477,1953,8
19,Norway,4477,1959,8
19,Norway,4477,1960,38
19,Norway,4477,1962,25
19,Norway,4477,1963,55
19,Norway,4477,1964,67
19,Norway,4477,1965,65
19,Norway,4477,1966,80
19,Norway,4477,1967,140
19,Norway,4477,1968,65
19,Norway,4477,1969,53
19,Norway,4477,1971,4
19,Norway,4477,1972,31
19,Norway,4477,1973,10
19,Norway,4477,1975,8
19,Norway,4477,1976,8
19,Norway,4477,1977,8
19,Norway,4477,1978,93
19,Norway,4477,1979,161
19,Norway,4477,1980,158
19,Norway,4477,1981,278
19,Norway,4477,1982,68
19,Norway,4477,1983,35
19,Norway,4477,1985,42
19,Norway,4477,1986,29
19,Norway,4477,1987,54
19,Norway,4477,1988,34
19,Norway,4477,1989,127
19,Norway,4477,1990,85
19,Norway,4477,1991,170
19,Norway,4477,1992,82
19,Norway,4477,1993,51
19,Norway,4477,1994,64
19,Norway,4477,1995,21
19,Norway,4477,1996,4
19,Norway,4477,1997,19
19,Norway,4477,1998,3
19,Norway,4477,1999,5
19,Norway,4477,2000,3
19,Norway,4477,2001,42
19,Norway,4477,2002,92
19,Norway,4477,2003,101
19,Norway,4477,2004,66
19,Norway,4477,2005,6
19,Norway,4477,2006,17
19,Norway,4477,2007,68
19,Norway,4477,2008,118
19,Norway,4477,2009,151
19,Norway,4477,2010,159
19,Norway,4477,2011,151
19,Norway,4477,2012,170
19,Norway,4477,2013,173
19,Norway,4477,2014,163
19,Norway,4477,2015,217
19,Norway,4477,2016,129
19,Norway,4477,2017,146
19,Norway,4477,2018,59
19,Norway,4477,2019,31
19,Norway,4477,2020,72
19,Norway,4477,2021,58
20,Brazil,3912,1960,2
20,Brazil,3912,1961,12
20,Brazil,3912,1969,18
20,Brazil,3912,1971,0
20,Brazil,3912,1974,32
20,Brazil,3912,1975,58
20,Brazil,3912,1976,103
20,Brazil,3912,1977,144
20,Brazil,3912,1978,180
20,Brazil,3912,1979,71
20,Brazil,3912,1980,156
20,Brazil,3912,1981,64
20,Brazil,3912,1982,117
20,Brazil,3912,1983,196
20,Brazil,3912,1984,269
20,Brazil,3912,1985,206
20,Brazil,3912,1986,138
20,Brazil,3912,1987,215
20,Brazil,3912,1988,204
20,Brazil,3912,1989,53
20,Brazil,3912,1990,106
20,Brazil,3912,1991,127
20,Brazil,3912,1992,98
20,Brazil,3912,1993,40
20,Brazil,3912,1994,54
20,Brazil,3912,1995,38
20,Brazil,3912,1996,27
20,Brazil,3912,1997,27
20,Brazil,3912,1998,18
20,Brazil,3912,2002,19
20,Brazil,3912,2004,46
20,Brazil,3912,2005,1
20,Brazil,3912,2006,44
20,Brazil,3912,2007,53
20,Brazil,3912,2008,92
20,Brazil,3912,2009,43
20,Brazil,3912,2010,143
20,Brazil,3912,2011,31
20,Brazil,3912,2012,33
20,Brazil,3912,2013,31
20,Brazil,3912,2014,31
20,Brazil,3912,2015,52
20,Brazil,3912,2016,122
20,Brazil,3912,2017,37
20,Brazil,3912,2018,100
20,Brazil,3912,2019,10
20,Brazil,3912,2020,162
20,Brazil,3912,2021,88
21,Australia,3395,1952,36
21,Australia,3395,1955,125
21,Australia,3395,1961,2
21,Australia,3395,1962,4
21,Australia,3395,1969,26
21,Australia,3395,1970,17
21,Australia,3395,1971,36
21,Australia,3395,1972,6
21,Australia,3395,1973,72
21,Australia,3395,1974,92
21,Australia,3395,1975,131
21,Australia,3395,1976,113
21,Australia,3395,1977,62
21,Australia,3395,1978,21
21,Australia,3395,1979,22
21,Australia,3395,1980,15
21,Australia,3395,1981,15
21,Australia,3395,1982,24
21,Australia,3395,1983,31
21,Australia,3395,1984,62
21,Australia,3395,1985,10
21,Australia,3395,1986,57
21,Australia,3395,1987,89
21,Australia,3395,1988,18
21,Australia,3395,1989,18
21,Australia,3395,1990,168
21,Australia,3395,1991,90
21,Australia,3395,1993,30
21,Australia,3395,1994,36
21,Australia,3395,1995,36
21,Australia,3395,1996,16
21,Australia,3395,1997,20
21,Australia,3395,1998,4
21,Australia,3395,2001,43
21,Australia,3395,2002,47
21,Australia,3395,2003,44
21,Australia,3395,2004,2
21,Australia,3395,2005,49
21,Australia,3395,2006,23
21,Australia,3395,2007,52
21,Australia,3395,2008,51
21,Australia,3395,2009,80
21,Australia,3395,2010,115
21,Australia,3395,2011,143
21,Australia,3395,2012,45
21,Australia,3395,2013,54
21,Australia,3395,2014,97
21,Australia,3395,2015,87
21,Australia,3395,2016,134
21,Australia,3395,2017,98
21,Australia,3395,2018,38
21,Australia,3395,2019,104
21,Australia,3395,2020,413
21,Australia,3395,2021,173
22,Belarus,3365,1993,8
22,Belarus,3365,1995,7
22,Belarus,3365,1996,129
22,Belarus,3365,1997,398
22,Belarus,3365,1998,63
22,Belarus,3365,1999,452
22,Belarus,3365,2000,293
22,Belarus,3365,2001,49
22,Belarus,3365,2002,63
22,Belarus,3365,2003,57
22,Belarus,3365,2004,19
22,Belarus,3365,2005,53
22,Belarus,3365,2006,43
22,Belarus,3365,2007,6
22,Belarus,3365,2008,224
22,Belarus,3365,2009,41
22,Belarus,3365,2010,159
22,Belarus,3365,2011,96
22,Belarus,3365,2012,97
22,Belarus,3365,2013,269
22,Belarus,3365,2014,101
22,Belarus,3365,2015,142
22,Belarus,3365,2016,152
22,Belarus,3365,2017,50
22,Belarus,3365,2018,79
22,Belarus,3365,2019,159
22,Belarus,3365,2020,59
22,Belarus,3365,2021,98
23,Turkey,2922,1956,0
23,Turkey,2922,1980,23
23,Turkey,2922,1981,11
23,Turkey,2922,1995,3
23,Turkey,2922,1996,3
23,Turkey,2922,1997,0
23,Turkey,2922,1998,3
23,Turkey,2922,1999,43
23,Turkey,2922,2000,19
23,Turkey,2922,2001,5
23,Turkey,2922,2002,26
23,Turkey,2922,2003,42
23,Turkey,2922,2004,28
23,Turkey,2922,2005,23
23,Turkey,2922,2006,82
23,Turkey,2922,2007,66
23,Turkey,2922,2008,112
23,Turkey,2922,2009,65
23,Turkey,2922,2010,72
23,Turkey,2922,2011,86
23,Turkey,2922,2012,143
23,Turkey,2922,2013,156
23,Turkey,2922,2014,168
23,Turkey,2922,2015,252
23,Turkey,2922,2016,237
23,Turkey,2922,2017,169
23,Turkey,2922,2018,231
23,Turkey,2922,2019,239
23,Turkey,2922,2020,233
23,Turkey,2922,2021,380
24,South Africa,2676,1959,8
24,South Africa,2676,1960,27
24,South Africa,2676,1961,33
24,South Africa,2676,1967,4
24,South Africa,2676,1969,14
24,South Africa,2676,1970,2
24,South Africa,2676,1971,4
24,South Africa,2676,1972,12
24,South Africa,2676,1973,1
24,South Africa,2676,1974,2
24,South Africa,2676,1975,18
24,South Africa,2676,1976,16
24,South Africa,2676,1977,0
24,South Africa,2676,1980,39
24,South Africa,2676,1981,39
24,South Africa,2676,1982,1
24,South Africa,2676,1985,25
24,South Africa,2676,1986,25
24,South Africa,2676,1987,28
24,South Africa,2676,1988,25
24,South Africa,2676,1989,0
24,South Africa,2676,1991,54
24,South Africa,2676,1992,75
24,South Africa,2676,1993,54
24,South Africa,2676,1994,11
24,South Africa,2676,1995,17
24,South Africa,2676,1996,31
24,South Africa,2676,1997,7
24,South Africa,2676,1998,22
24,South Africa,2676,1999,28
24,South Africa,2676,2000,20
24,South Africa,2676,2001,37
24,South Africa,2676,2002,22
24,South Africa,2676,2003,47
24,South Africa,2676,2004,72
24,South Africa,2676,2005,35
24,South Africa,2676,2006,192
24,South Africa,2676,2007,137
24,South Africa,2676,2008,141
24,South Africa,2676,2009,103
24,South Africa,2676,2010,236
24,South Africa,2676,2011,72
24,South Africa,2676,2012,179
24,South Africa,2676,2013,103
24,South Africa,2676,2014,61
24,South Africa,2676,2015,64
24,South Africa,2676,2016,78
24,South Africa,2676,2017,87
24,South Africa,2676,2018,85
24,South Africa,2676,2019,96
24,South Africa,2676,2020,106
24,South Africa,2676,2021,83
25,North Korea,2409,1974,8
25,North Korea,2409,1975,12
25,North Korea,2409,1979,20
25,North Korea,2409,1980,29
25,North Korea,2409,1981,5
25,North Korea,2409,1982,148
25,North Korea,2409,1983,250
25,North Korea,2409,1984,88
25,North Korea,2409,1985,57
25,North Korea,2409,1986,65
25,North Korea,2409,1987,212
25,North Korea,2409,1988,189
25,North Korea,2409,1989,66
25,North Korea,2409,1990,4
25,North Korea,2409,1991,113
25,North Korea,2409,1992,131
25,North Korea,2409,1993,137
25,North Korea,2409,1994,24
25,North Korea,2409,1995,41
25,North Korea,2409,1996,47
25,North Korea,2409,1997,47
25,North Korea,2409,1998,81
25,North Korea,2409,1999,55
25,North Korea,2409,2000,58
25,North Korea,2409,2001,73
25,North Korea,2409,2002,162
25,North Korea,2409,2003,134
25,North Korea,2409,2004,47
25,North Korea,2409,2005,20
25,North Korea,2409,2006,20
25,North Korea,2409,2007,20
25,North Korea,2409,2008,20
25,North Korea,2409,2009,26
25,North Korea,2409,2010,5
25,North Korea,2409,2014,1
